StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,netted,"treatment_1 ",Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,treatment_2,Q1_2,Q2_2,Q3_2,Q4_2,Q5_2,Q6_2,Q7_2,Q8_2,Q9_2,Q10_2,"treatment_3 ",Q1_3,Q2_3,Q3_3,Q4_3,Q5_3,Q6_3,Q7_3,Q8_3,Q9_3,Q10_3,treatment_4,Q1_4,Q2_4,Q3_4,Q4_4,Q5_4,Q6_4,Q7_4,Q8_4,Q9_4,Q10_4
2024-03-22 09:23:31,2024-03-22 11:47:07,IP Address,136.36.182.58,100,8616,True,2024-03-22 11:47:08,R_58HRNgdME9cp7I2,,,,,40.2584,-111.6591,anonymous,EN,rer54,It's a picture of Jesus Christ.,Justice in holdings,"Hypothetical consent and actual consent, because Rawls believes that parties must consent in abstract and in fact for a basic structure to be legitimate.",The power to form plans with others (reasonability) and the power to communicate those plans to other agents (rationality),You can only achieve a historical principle of justice through interfering with the free choice of others.,"The rights of persons should not be violated, even if doing so would produce greater utility than any alternative.",Imperfect procedural justice,A right to a fair share of the cooperatively produced social goods.,"Rawls would likely say that political parties should then be publicly rather than privately funded, and Mill would say that the funding of policies should be according to what best supported utility, understood as the aggregate permanent higher interests.","He would say that he favors historical principles, while Rawls and Mill favor versions of patterned principles.","Rawls would favor free expression as protected by his first principle of justice, and Mill would favor free expression as promoting utility.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-22 11:38:05,2024-03-22 11:48:51,IP Address,128.187.116.17,100,645,True,2024-03-22 11:48:52,R_3KpyuC7arlLkh5V,,,,,40.2342,-111.6442,anonymous,EN,Dalinj,,,,,,,,,,,,"Dr. Ryan Davis, a philosophy professor that teaches me Western Political Philosophy.",Justice in holdings,"Tacit consent, because Rawls agrees with Locke that merely participating within a basic structure counts as issuing consent.",The power to understand the operation of economic rules (rationality) and the power to appreciate the force of moral arguments (reasonability),You can only achieve a patterned principle of justice through interfering with the free choice of others.,The basic structure is just if the distribution of property is the result of a just series of historical transfers.,Impure procedural justice,A right to a fair share of the cooperatively produced social goods.,"Rawls would likely say that political parties should then be publicly rather than privately funded, and Mill would say that the funding of policies should be according to what best supported utility, understood as the aggregate permanent higher interests.","He would say that his own view favors a patterned principle of justice, while Rawls and Mill favor historical principles.","Rawls and Mill would both support free expression conditionally, as long as the balance of empirical evidence suggested that free expression would promote the values they associated with justice.",,,,,,,,,,,,,,,,,,,,,,
2024-03-22 10:05:29,2024-03-22 11:53:11,IP Address,128.187.116.24,100,6461,True,2024-03-22 11:53:12,R_1rZA0RmnrHs1Qe4,,,,,40.2342,-111.6442,anonymous,EN,kazamm,,,,,,,,,,,,Dr. Ryan Davis.,Justice in holdings,"Hypothetical consent, because Rawls thinks that securing actual consent of all to a basic structure is impossible.",The power to consent to contracts (reasonability) and the power to create new moral rules (rationality),You can only achieve Rawls’s liberty principle of justice through interfering with the free choice of others.,,Imperfect procedural justice,A right to own private property.,"Rawls would likely say that political parties should then be publicly rather than privately funded, and Mill would say that the funding of policies should be according to what best supported utility, understood as the aggregate permanent higher interests.","He would say that he favors historical principles, while Rawls and Mill favor versions of patterned principles.","Rawls would favor support free expression, but only insofar as it is compatible with the well-being of the least advantaged group. Mill would support it in all cases.",,,,,,,,,,,,,,,,,,,,,,
2024-03-22 11:55:53,2024-03-22 12:06:02,IP Address,128.187.116.29,100,608,True,2024-03-22 12:06:02,R_2DgiYHAFKwKUJ2N,,,,,40.2342,-111.6442,anonymous,EN,amc90,,,,,,,,,,,,,,,,,,,,,,,"Male with dark short hair. He has a well-trimmed beard and mustache. He is wearing a black shirt, his arms are folded across his chest, and he is smiling while looking forward. ",Justice in holdings,"Hypothetical consent, because Rawls thinks that securing actual consent of all to a basic structure is impossible.",The power to understand the operation of economic rules (rationality) and the power to appreciate the force of moral arguments (reasonability),You can only achieve a patterned principle of justice through interfering with the free choice of others.,"The rights of persons should not be violated, even if doing so would produce greater utility than any alternative.",Imperfect procedural justice,A right to own private property.,"Rawls would likely say that political parties should then be publicly rather than privately funded, and Mill would say that the funding of policies should be according to what best supported utility, understood as the aggregate permanent higher interests.","He would say that he favors historical principles, while Rawls and Mill favor versions of patterned principles.","Rawls would favor free expression as protected by his first principle of justice, and Mill would favor free expression as promoting utility.",,,,,,,,,,,
2024-03-22 12:26:00,2024-03-22 12:36:53,IP Address,128.187.116.32,100,653,True,2024-03-22 12:36:54,R_2MA1zxWxtdCcp1e,,,,,40.2342,-111.6442,anonymous,EN,bwood02,,,,,,,,,,,,,,,,,,,,,,,a man with folded arms in a black polo with styled dark hair and some stubble,Justice in holdings,"Hypothetical consent, because Rawls thinks that securing actual consent of all to a basic structure is impossible.",The power to form a plan for one’s own life (rationality) and the power to form agreements on fair terms with others (reasonability),You can only achieve a patterned principle of justice through interfering with the free choice of others.,"The rights of persons should not be violated, even if doing so would produce greater utility than any alternative.",Imperfect procedural justice,A right to own private property.,"Rawls would likely say that political parties should then be publicly rather than privately funded, and Mill would say that the funding of policies should be according to what best supported utility, understood as the aggregate permanent higher interests.","He would say that he favors historical principles, while Rawls and Mill favor versions of patterned principles.","Rawls would favor free expression as protected by his first principle of justice, and Mill would favor free expression as promoting utility.",,,,,,,,,,,
2024-03-22 12:27:03,2024-03-22 12:49:03,IP Address,128.187.116.13,100,1319,True,2024-03-22 12:49:04,R_3k58r9LDTIowQed,,,,,40.2342,-111.6442,anonymous,EN,s607179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange,Justice in holdings,"Hypothetical consent, because Rawls thinks that securing actual consent of all to a basic structure is impossible.",The power to form a plan for one’s own life (rationality) and the power to form agreements on fair terms with others (reasonability),You can only achieve a patterned principle of justice through interfering with the free choice of others.,"The rights of persons should not be violated, even if doing so would produce greater utility than any alternative.",Imperfect procedural justice,A right to own private property.,"Rawls would likely say that political parties should then be publicly rather than privately funded, and Mill would say that the funding of policies should be according to what best supported utility, understood as the aggregate permanent higher interests.","He would say that he favors historical principles, while Rawls and Mill favor versions of patterned principles.","Rawls would favor free expression as protected by his first principle of justice, and Mill would favor free expression as promoting utility."
2024-03-22 12:38:07,2024-03-22 12:57:22,IP Address,128.187.0.98,100,1155,True,2024-03-22 12:57:22,R_5sguljfwnqgw1wZ,,,,,40.2584,-111.6591,anonymous,EN,ethanw03,It's Jesus!,Justice in holdings,"Actual consent, because Rawls regards it as a core feature of liberalism that everyone in a society must in fact agree to its fundamental rules.",The power to form a plan for one’s own life (rationality) and the power to form agreements on fair terms with others (reasonability),You can only achieve a patterned principle of justice through interfering with the free choice of others.,None of the above.,Imperfect procedural justice,A right to own private property.,"Rawls would likely say that political parties should then be publicly rather than privately funded, and Mill would say that the funding of policies should be according to what best supported utility, understood as the aggregate permanent higher interests.","He would say that he favors historical principles, while Rawls and Mill favor versions of patterned principles.","Rawls would favor free expression as protected by his first principle of justice, and Mill would favor free expression as promoting utility.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-22 11:41:27,2024-03-22 13:45:16,IP Address,66.7.118.70,100,7428,True,2024-03-22 13:45:17,R_2sUfY8AF0QS6rbX,,,,,40.2584,-111.6591,anonymous,EN,brennak0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue,Justice in holdings,"Tacit consent, because Rawls agrees with Locke that merely participating within a basic structure counts as issuing consent.",The power to form a plan for one’s own life (rationality) and the power to form agreements on fair terms with others (reasonability),You can only achieve a patterned principle of justice through interfering with the free choice of others.,"The rights of persons should not be violated, even if doing so would produce greater utility than any alternative.",Imperfect procedural justice,A right to own whatever is the result of voluntary transfers.,"Rawls would likely say that political parties should then be publicly rather than privately funded, and Mill would say that the funding of policies should be according to what best supported utility, understood as the aggregate permanent higher interests.","He would say that he favors historical principles, while Rawls and Mill favor versions of patterned principles.","Rawls and Mill would both support free expression conditionally, as long as the balance of empirical evidence suggested that free expression would promote the values they associated with justice."
2024-03-22 14:25:30,2024-03-22 14:42:53,IP Address,128.187.116.24,100,1042,True,2024-03-22 14:42:53,R_1qjyYeWhzkyZUmo,,,,,40.2342,-111.6442,anonymous,EN,peternw,,,,,,,,,,,,One of the coolest men I know at BYU ;),Justice in holdings,"Hypothetical consent, because Rawls thinks that securing actual consent of all to a basic structure is impossible.",The power to form a plan for one’s own life (rationality) and the power to form agreements on fair terms with others (reasonability),You can only achieve a patterned principle of justice through interfering with the free choice of others.,None of the above.,Imperfect procedural justice,A right to own private property.,"Rawls would likely say that political parties should then be publicly rather than privately funded, and Mill would say that the funding of policies should be according to what best supported utility, understood as the aggregate permanent higher interests.","He would say that he favors historical principles, while Rawls and Mill favor versions of patterned principles.","Rawls would favor free expression as protected by his first principle of justice, and Mill would favor free expression as promoting utility.",,,,,,,,,,,,,,,,,,,,,,
2024-03-22 16:41:01,2024-03-22 17:14:39,IP Address,65.130.166.117,100,2018,True,2024-03-22 17:14:40,R_1mesddDH8UpCRXk,,,,,40.6751,-111.8166,anonymous,EN,bg933,,,,,,,,,,,,,,,,,,,,,,,"Man with black hair and facial hair who is wearing a blue button up shirt and folding his arms.... idk what else I'm supposed to write in here. He is a normal looking man with two eyes, a mouth, and a nose. He is smiling. Is that good enough for you?? No? Okay so let's pretend this man's name is Greg. Greg wanted to be a philosopher but his mom said no, so now he is a businessman. Greg has a wife, two kids, and a golden retriever. ",Justice in holdings,"Hypothetical consent, because Rawls thinks that securing actual consent of all to a basic structure is impossible.",The power to form a plan for one’s own life (rationality) and the power to form agreements on fair terms with others (reasonability),You can only achieve a patterned principle of justice through interfering with the free choice of others.,The basic structure is just if the distribution of property is the result of a just series of historical transfers.,Imperfect procedural justice,A right to own private property.,"Rawls would likely say that political parties should then be publicly rather than privately funded, and Mill would say that the funding of policies should be according to what best supported utility, understood as the aggregate permanent higher interests.","He would say that he favors historical principles, while Rawls and Mill favor versions of patterned principles.","Rawls would favor free expression as protected by his first principle of justice, and Mill would favor free expression as promoting utility.",,,,,,,,,,,
2024-03-22 19:38:36,2024-03-22 19:50:16,IP Address,66.7.118.70,100,699,True,2024-03-22 19:50:17,R_3OCXND7dOFMz38k,,,,,40.2584,-111.6591,anonymous,EN,nballou0,Jesus Christ,Justice in holdings,"Tacit consent, because Rawls agrees with Locke that merely participating within a basic structure counts as issuing consent.",The power to form a plan for one’s own life (rationality) and the power to form agreements on fair terms with others (reasonability),You can only achieve justice in holdings through interfering with the free choice of others.,The basic structure should be organized in a way that is to the advantage of the least advantaged group.,Imperfect procedural justice,A right to own whatever is the result of voluntary transfers.,"Rawls would likely say that political parties should be privately funded, because private funding is essential to preserving the opportunity for individuals to pursue their own life plans; Mill would likely agree, given his shared commitment to individual liberty.","He would say that he favors historical principles, while Rawls and Mill favor versions of patterned principles.","Rawls would favor support free expression, but only insofar as it is compatible with the well-being of the least advantaged group. Mill would support it in all cases.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-22 22:12:34,2024-03-22 22:19:29,IP Address,192.34.255.222,100,414,True,2024-03-22 22:19:29,R_5H2FaLqD4Ajm9WN,,,,,40.6982,-111.841,anonymous,EN,tatumnel,,,,,,,,,,,,,,,,,,,,,,,There's a white middle aged man with facial hair who's crossing this arms and wearing a dark button down shirt,Justice in holdings,"Hypothetical consent, because Rawls thinks that securing actual consent of all to a basic structure is impossible.",The power to form a plan for one’s own life (rationality) and the power to form agreements on fair terms with others (reasonability),You can only achieve a patterned principle of justice through interfering with the free choice of others.,"The rights of persons should not be violated, even if doing so would produce greater utility than any alternative.",Imperfect procedural justice,A right to own whatever is the result of voluntary transfers.,"Rawls would likely say that political parties should then be publicly rather than privately funded, and Mill would say that the funding of policies should be according to what best supported utility, understood as the aggregate permanent higher interests.","He would say that he favors historical principles, while Rawls and Mill favor versions of patterned principles.","Rawls would favor free expression as protected by his first principle of justice, and Mill would favor free expression as promoting utility.",,,,,,,,,,,
2024-03-22 22:14:34,2024-03-22 22:22:26,IP Address,54.89.100.164,100,471,True,2024-03-22 22:22:26,R_7g7NTocmJSM1m6g,,,,,39.0469,-77.4903,anonymous,EN,marys524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am wearing a grey shirt! It has a pocket on the left side of my chest.,Justice in holdings,"Hypothetical consent, because Rawls thinks that securing actual consent of all to a basic structure is impossible.",The power to form a plan for one’s own life (rationality) and the power to form agreements on fair terms with others (reasonability),You can only achieve justice in holdings through interfering with the free choice of others.,None of the above.,Imperfect procedural justice,A right to own private property.,"Rawls would likely say that political parties should then be publicly rather than privately funded, and Mill would likely agree if public funding best respected the voluntary transfers of groups.","He would say that he favors historical principles, while Rawls and Mill favor versions of patterned principles.","Rawls would favor free expression as protected by his first principle of justice, and Mill would favor free expression as promoting utility."
